location_name,latitude,longitude,parameter,value,unit,timestamp
Barcelona - Eixample,41.389,2.165,CO,0.69,mg/m³,2026-06-14T08:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,8.28,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,26.87,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,19.24,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,63.48,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,74.26,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.89,mg/m³,2026-06-14T07:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,13.53,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,28.92,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,56.09,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,19.42,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,33.72,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.19,mg/m³,2026-06-14T06:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,5.55,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,20.55,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,23.57,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,56.44,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,44.97,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.63,mg/m³,2026-06-14T05:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,8.6,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,10.64,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,50.11,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,18.73,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,89.08,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.57,mg/m³,2026-06-14T04:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,3.78,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,5.22,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,50.77,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,50.34,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,71.03,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.57,mg/m³,2026-06-14T03:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,2.04,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,19.34,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,15.79,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,58.16,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,63.63,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.73,mg/m³,2026-06-14T02:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,1.89,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,17.44,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,26.26,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,51.48,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,64.63,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.79,mg/m³,2026-06-14T01:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,7.61,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,9.78,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,45.66,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,53.04,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,59.29,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.56,mg/m³,2026-06-14T00:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,7.91,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,25.91,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,31.38,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,16.27,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,27.55,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.16,mg/m³,2026-06-13T23:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,9.91,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,17.57,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,35.43,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,60.38,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,37.45,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.88,mg/m³,2026-06-13T22:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,11.58,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,14.15,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,13.85,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,29.49,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,31.29,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.87,mg/m³,2026-06-13T21:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,12.31,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,30.34,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,53.57,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,55.18,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,33.06,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.8,mg/m³,2026-06-13T20:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,8.55,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,37.3,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,54.8,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,30.9,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,27.7,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.53,mg/m³,2026-06-13T19:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,6.98,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,37.72,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,53.04,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,15.35,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,55.75,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.89,mg/m³,2026-06-13T18:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,4.11,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,9.79,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,26.88,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,62.15,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,42.62,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.09,mg/m³,2026-06-13T17:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,10.84,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,19.55,µg/m³,2026-06-13T16:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,58.59,µg/m³,2026-06-13T16:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,63.12,µg/m³,2026-06-13T16:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,37.62,µg/m³,2026-06-13T16:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.04,mg/m³,2026-06-13T16:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,5.21,µg/m³,2026-06-13T16:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,16.39,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,11.84,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,45.48,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,55.19,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.2,mg/m³,2026-06-14T15:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,4.9,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,41.33,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,21.98,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,22.24,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,54.26,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.97,mg/m³,2026-06-14T14:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,4.39,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,31.89,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,48.08,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,26.88,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,70.98,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.8,mg/m³,2026-06-14T13:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,9.85,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,30.34,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,36.79,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,19.51,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,78.47,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.71,mg/m³,2026-06-14T12:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,3.61,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,6.63,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,39.54,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,48.88,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,21.16,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.07,mg/m³,2026-06-14T11:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,4.17,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,30.81,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,18.72,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,49.55,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,47.07,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.88,mg/m³,2026-06-14T10:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,2.93,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,18.64,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,15.67,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,61.23,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,81.41,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.59,mg/m³,2026-06-14T09:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,10.24,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,37.69,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,37.76,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,41.48,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,36.93,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.28,mg/m³,2026-06-14T08:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,13.56,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,41.02,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,41.66,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,31.95,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,44.44,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.48,mg/m³,2026-06-14T07:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,13.56,µg/m³,2026-06-14T07:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,40.48,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,48.99,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,47.1,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,25.89,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.41,mg/m³,2026-06-14T06:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,13.58,µg/m³,2026-06-14T06:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,29.26,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,10.46,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,20.07,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,66.45,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.11,mg/m³,2026-06-14T05:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,3.25,µg/m³,2026-06-14T05:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,26.95,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,44.59,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,47.6,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,35.7,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.45,mg/m³,2026-06-14T04:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,4.32,µg/m³,2026-06-14T04:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,18.02,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,47.32,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,47.48,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,79.45,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.35,mg/m³,2026-06-14T03:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,8.96,µg/m³,2026-06-14T03:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,8.75,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,28.39,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,28.26,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,37.08,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.95,mg/m³,2026-06-14T02:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,6.5,µg/m³,2026-06-14T02:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,40.68,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,41.56,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,54.74,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,55.18,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.2,mg/m³,2026-06-14T01:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,7.9,µg/m³,2026-06-14T01:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,12.81,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,46.12,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,29.04,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,21.7,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.33,mg/m³,2026-06-14T00:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,3.48,µg/m³,2026-06-14T00:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,42.62,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,57.7,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,60.74,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,45.91,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.13,mg/m³,2026-06-13T23:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,14.0,µg/m³,2026-06-13T23:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,22.13,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,58.33,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,63.18,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,79.71,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.66,mg/m³,2026-06-13T22:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,6.39,µg/m³,2026-06-13T22:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,39.05,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,25.85,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,23.47,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,58.98,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.88,mg/m³,2026-06-13T21:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,10.74,µg/m³,2026-06-13T21:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,27.8,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,14.86,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,45.75,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,89.3,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.37,mg/m³,2026-06-13T20:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,8.26,µg/m³,2026-06-13T20:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,40.09,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,47.04,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,49.85,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,69.17,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,0.78,mg/m³,2026-06-13T19:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,5.11,µg/m³,2026-06-13T19:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,37.37,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,50.51,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,58.35,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,83.93,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.07,mg/m³,2026-06-13T18:07:24.406039
Barcelona - Gràcia,41.402,2.157,SO2,8.02,µg/m³,2026-06-13T18:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM2.5,36.93,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Gràcia,41.402,2.157,PM10,42.5,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Gràcia,41.402,2.157,NO2,50.1,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Gràcia,41.402,2.157,O3,75.71,µg/m³,2026-06-13T17:07:24.406039
Barcelona - Gràcia,41.402,2.157,CO,1.79,mg/m³,2026-06-13T17:07:24.406039
